title,artist,year,rank
Smells Like Teen Spirit,Nirvana,1991,1
Imagine,John Lennon,1971,2
One,U2,1992,3
Billie Jean,Michael Jackson,1982,4
Bohemian Rhapsody,Queen,1975,5
Hey Jude,The Beatles,1968,6
Like A Rolling Stone,Bob Dylan,1967,7
I Can,Rolling Stones,1965,8
God Save The Queen,Sex Pistols,1977,9
Sweet Child O,Guns N’ Roses,1987,10
London Calling,The Clash,1979,11
Waterloo Sunset,The Kinks,1967,12
Hotel California,The Eagles,1976,13
Your Song,Elton John,1970,14
Stairway To Heaven,Led Zeppelin,1971,15
The Twist,Chubby Checker,1960,16
Live Forever,Oasis,1994,17
I Will Always Love You,Whitney Houston,1974,18
Life On Mars?,David Bowie,1971,19
Heartbreak Hotel,Elvis Presley,1956,20
Over The Rainbow,Judy Garland,1939,21
What,Marvin Gaye,1971,22
Born To Run,Bruce Springsteen,1975,23
Be My Baby,The Ronettes,1963,24
Creep,Radiohead,1992,25
Bridge Over Troubled Water,Simon & Garfunkel,1974,26
Respect,Aretha Franklin,1965,27
Family Affair,Sly And The Family Stone,1971,28
Dancing Queen,ABBA,1976,29
Good Vibrations,The Beach Boys,1966,30
Purple Haze,Jimi Hendrix,1967,31
Yesterday,The Beatles,1965,32
Johnny B Goode,Chuck Berry,1958,33
No Woman No Cry,Bob Marley,1975,34
Hallelujah,Jeff Buckley,1994,35
Every Breath You Take,The Police,1983,36
A Day In The Life,The Beatles,1967,37
Stand By Me,Ben E King,1962,38
Papa,James Brown,1965,39
Gimme Shelter,The Rolling Stones,1969,40
What,Ray Charles,1959,41
Sultans Of Swing,Dire Straits,1978,42
God Only Knows,The Beach Boys,1966,43
You,The Righteous Brothers,1964,44
My Generation,The Who,1965,45
Dancing In The Street,Martha Reeves and the Vandellas,1965,46
When Doves Cry,Prince,1984,47
A Change Is Gonna Come,Sam Cooke,1964,48
River Deep Mountain High,Ike and Tina Turner,1966,49
Best Of My Love,The Emotions,1977,50
