title,artist,rank
Luther,Kendrick Lamar & SZA,1
Die With A Smile,Lady Gaga & Bruno Mars,2
Not Like Us,Kendrick Lamar,3
TV Off,Kendrick Lamar Featuring Lefty Gunplay,4
A Bar Song (Tipsy),Shaboozey,5
APT.,ROSE & Bruno Mars,6
Birds Of A Feather,Billie Eilish,7
Pink Pony Club,Chappell Roan,8
Lose Control,Teddy Swims,9
Squabble Up,Kendrick Lamar,10
Nokia,Drake,11
Beautiful Things,Benson Boone,12
That's So True,Gracie Abrams,13
Love Somebody,Morgan Wallen,14
30 For 30,SZA With Kendrick Lamar,15
Sports Car,Tate McRae,16
I Had Some Help,Post Malone Featuring Morgan Wallen,17
Espresso,Sabrina Carpenter,18
I'm The Problem,Morgan Wallen,19
Timeless,The Weeknd & Playboi Carti,20
Messy,Lola Young,21
Revolving Door,Tate McRae,22
All The Stars,Kendrick Lamar & SZA,23
Taste,Sabrina Carpenter,24
Denial Is A River,Doechii,25
Too Sweet,Hozier,26
"Good Luck, Babe!",Chappell Roan,27
Gimme A Hug,Drake,28
Die Trying,"PARTYNEXTDOOR, Drake & Yebba",29
DTMF,Bad Bunny,30
Abracadabra,Lady Gaga,31
Stargazing,Myles Smith,32
Who,Jimin,33
Bed Chem,Sabrina Carpenter,34
Liar,Jelly Roll,35
Please Please Please,Sabrina Carpenter,36
Peekaboo,Kendrick Lamar Featuring AzChike,37
Sailor Song,Gigi Perez,38
Baile Inolvidable,Bad Bunny,39
High Road,Koe Wetzel & Jessie Murph,40
No One Noticed,The Marias,41
BMF,SZA,42
I Know Love,Tate McRae Featauring The Kid LAROI,43
Dear God,Tate McRae,44
Wildflower,Billie Eilish,45
I Never Lie,Zach Top,46
Sticky,"Tyler, The Creator Featuring GloRilla, Sexyy Red & Lil Wayne",47
Smile,Morgan Wallen,48
Whatchu Kno About Me,GloRilla & Sexyy Red,49
Cry For Me,The Weeknd,50
I'm Gonna Love You,Cody Johnson & Carrie Underwood,51
Busy Woman,Sabrina Carpenter,52
Purple Lace Bra,Tate McRae,53
Miss Possessive,Tate McRae,54
Indigo,Sam Barber Featuring Avery Anna,55
Residuals,Chris Brown,56
Tweaker,GELO,57
Call Me When You Break Up,"Selena Gomez, benny blanco & Gracie Abrams",58
Worst Way,Riley Green,59
CN Tower,PARTYNEXTDOOR & Drake,60
Somebody Loves Me,PARTYNEXTDOOR & Drake,61
Bad Dreams,Teddy Swims,62
Good News,Shaboozey,63
bloodonmyhands,Tate McRae Featuring Flo Milli,64
I Ain't Sayin',Jordan Davis,65
Loco,Neton Vega,66
Mutt,Leon Thomas,67
Nuevayol,Bad Bunny,68
cLOUDs,J. Cole,69
Fat Juicy & Wet,Sexyy Red & Bruno Mars,70
Ordinary,Alex Warren,71
Something About You,PARTYNEXTDOOR & Drake,72
Like Him,"Tyler, The Creator Featuring Lola Young",73
Signs,Tate McRae,74
ExtraL,JENNIE & Doechii,75
2 Hands,Tate McRae,76
4x4xU,Lainey Wilson,77
Deeper,PARTYNEXTDOOR,78
Am I Okay?,Megan Moroney,79
Heart Of A Woman,Summer Walker,80
Me Jalo,Fuerza Regida & Grupo Frontera,81
Headlock,Imogen Heap,82
LV Bag,"Don Toliver, j-hope, Pharrell Williams & Speedy",83
Voy A Llevarte Pa PR,Bad Bunny,84
Por Esos Ojos,Fuerza Regida,85
Moth Balls,PARTYNEXTDOOR & Drake,86
Raining In Houston,Drake,87
The Largest,BigXthaPlug,88
Little Things,Ella Mai,89
Like I Do,Tate McRae,90
Spider-Man Superman,PARTYNEXTDOOR & Drake,91
EOO,Bad Bunny,92
Backseat Driver,Kane Brown,93
Pimmie's Dilemma,"Pimmie, PARTYNEXTDOOR & Drake",94
Hey Now,Kendrick Lamar Featuring Dody6,95
No Pole,Don Toliver,96
Small Town Fame,Drake,97
Que Pasaria...,Rauw Alejandro & Bad Bunny,98
Greenlight,Tate McRae,99
Weren't For The Wind,Ella Langley,100
