title,artist,rank,Cluster,Cluster_Name,track_id
Luther,Kendrick Lamar & SZA,1,8,Trending 100 Songs,2CGNAOSuO1MEFCbBRgUzjd
Die With A Smile,Lady Gaga & Bruno Mars,2,8,Trending 100 Songs,2plbrEY59IikOBgBGLjaoe
Not Like Us,Kendrick Lamar,3,8,Trending 100 Songs,6AI3ezQ4o3HUoP6Dhudph3
TV Off,Kendrick Lamar Featuring Lefty Gunplay,4,8,Trending 100 Songs,6g6W3pMAFbp2FS1QCijkpM
A Bar Song (Tipsy),Shaboozey,5,8,Trending 100 Songs,2FQrifJ1N335Ljm3TjTVVf
APT.,ROSE & Bruno Mars,6,8,Trending 100 Songs,5vNRhkKd0yEAg8suGBpjeY
Birds Of A Feather,Billie Eilish,7,8,Trending 100 Songs,6dOtVTDdiauQNBQEDOtlAB
Pink Pony Club,Chappell Roan,8,8,Trending 100 Songs,1k2pQc5i348DCHwbn5KTdc
Lose Control,Teddy Swims,9,8,Trending 100 Songs,6usohdchdzW9oML7VC4Uhk
Squabble Up,Kendrick Lamar,10,8,Trending 100 Songs,0nj9Bq5sHDiTxSHunhgkFb
Nokia,Drake,11,8,Trending 100 Songs,2u9S9JJ6hTZS3Vf22HOZKg
Beautiful Things,Benson Boone,12,8,Trending 100 Songs,6tNQ70jh4OwmPGpYy6R2o9
That's So True,Gracie Abrams,13,8,Trending 100 Songs,7ne4VBA60CxGM75vw0EYad
Love Somebody,Morgan Wallen,14,8,Trending 100 Songs,7hR22TOX3RorxJPcsz5Wbo
30 For 30,SZA With Kendrick Lamar,15,8,Trending 100 Songs,3aSWXU6owkZeVhh94XxEWO
Sports Car,Tate McRae,16,8,Trending 100 Songs,2zOmS55knKWSgScYPTNmGQ
I Had Some Help,Post Malone Featuring Morgan Wallen,17,8,Trending 100 Songs,0c1OFn0MYtVtlIlg1GQr1O
Espresso,Sabrina Carpenter,18,8,Trending 100 Songs,2qSkIjg1o9h3YT9RAgYN75
